0,1,2,3
Ephedrine,Ephedrine,Serum albumin,Toxic substance binding
Colchicine,Colchicine,Serum albumin,Toxic substance binding
Digitoxin,Digitoxin,Serum albumin,Toxic substance binding
Danazol,Danazol,Sex hormone-binding globulin,Androgen binding
Ciclesonide,Ciclesonide,Corticosteroid-binding globulin,Steroid binding
Acenocoumarol,Acenocoumarol,Serum albumin,Toxic substance binding
Acenocoumarol,Acenocoumarol,Alpha-1-acid glycoprotein 1,
Ajmaline,Ajmaline,Alpha-1-acid glycoprotein 1,
Aprindine,Aprindine,Alpha-1-acid glycoprotein 1,
Liotrix,Liotrix,Transthyretin,Identical protein binding
Liotrix,Liotrix,Thyroxine-binding globulin,Serine-type endopeptidase inhibitor activity
Liotrix,Liotrix,Serum albumin,Toxic substance binding
Ketazolam,Ketazolam,Serum albumin,Toxic substance binding
Hydroxychloroquine,Hydroxychloroquine,Serum albumin,Toxic substance binding
Hydroxychloroquine,Hydroxychloroquine,Alpha-1-acid glycoprotein 1,
Hydroxychloroquine,Hydroxychloroquine,Alpha-1-acid glycoprotein 2,
Estronesulfate,Estrone sulfate,Sex hormone-binding globulin,Androgen binding
Estronesulfate,Estrone sulfate,Serum albumin,Toxic substance binding
Dronedarone,Dronedarone,Serum albumin,Toxic substance binding
Nebivolol,Nebivolol,Serum albumin,Toxic substance binding
Abiraterone,Abiraterone,Serum albumin,Toxic substance binding
Abiraterone,Abiraterone,Alpha-1-acid glycoprotein 1,
Asenapine,Asenapine,Serum albumin,Toxic substance binding
Asenapine,Asenapine,Alpha-1-acid glycoprotein 1,
Asenapine,Asenapine,Alpha-1-acid glycoprotein 2,
Levocetirizine,Levocetirizine,Serum albumin,Toxic substance binding
Methyltestosterone,Methyltestosterone,Serum albumin,Toxic substance binding
Methyltestosterone,Methyltestosterone,Sex hormone-binding globulin,Androgen binding
Fospropofol,Fospropofol,Serum albumin,Toxic substance binding
Ivacaftor,Ivacaftor,Serum albumin,Toxic substance binding
Ivacaftor,Ivacaftor,Alpha-1-acid glycoprotein 1,
Mirabegron,Mirabegron,Serum albumin,Toxic substance binding
Mirabegron,Mirabegron,Alpha-1-acid glycoprotein 1,
Enzalutamide,Enzalutamide,Serum albumin,Toxic substance binding
Enzalutamide,Enzalutamide,Thyroxine-binding globulin,Serine-type endopeptidase inhibitor activity
Fluticasonefuroate,Fluticasone furoate,Corticosteroid-binding globulin,Steroid binding
Fluticasonefuroate,Fluticasone furoate,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Fluticasonefuroate,Fluticasone furoate,Solute carrier organic anion transporter family member 1B1,Sodium-independent organic anion transmembrane transporter activity
Canagliflozin,Canagliflozin,Alpha-1-acid glycoprotein 1,
Macitentan,Macitentan,Serum albumin,Toxic substance binding
Ibrutinib,Ibrutinib,Serum albumin,Toxic substance binding
Ibrutinib,Ibrutinib,Alpha-1-acid glycoprotein 1,
Ibrutinib,Ibrutinib,Alpha-1-acid glycoprotein 2,
Lorpiprazole,Lorpiprazole,Serum albumin,Toxic substance binding
Blonanserin,Blonanserin,Serum albumin,Toxic substance binding
Aranidipine,Aranidipine,Serum albumin,Toxic substance binding
Aranidipine,Aranidipine,Alpha-1-acid glycoprotein 1,
Imidafenacin,Imidafenacin,Serum albumin,Toxic substance binding
Imidafenacin,Imidafenacin,Alpha-1-acid glycoprotein 1,
Imidafenacin,Imidafenacin,Alpha-1-acid glycoprotein 2,
Lumacaftor,Lumacaftor,Serum albumin,Toxic substance binding
Dexchlorpheniraminemaleate,Dexchlorpheniramine maleate,Solute carrier family 22 member 1,Secondary active organic cation transmembrane transporter activity
Dexchlorpheniraminemaleate,Dexchlorpheniramine maleate,Solute carrier family 22 member 2,Quaternary ammonium group transmembrane transporter activity
Butamben,Butamben,Alpha-1-acid glycoprotein 1,
Butamben,Butamben,Serum albumin,Toxic substance binding
Ertugliflozin,Ertugliflozin,Serum albumin,Toxic substance binding
Neratinib,Neratinib,Serum albumin,Toxic substance binding
Neratinib,Neratinib,Alpha-1-acid glycoprotein 1,
Neratinib,Neratinib,Alpha-1-acid glycoprotein 2,
Abemaciclib,Abemaciclib,Serum albumin,Toxic substance binding
Abemaciclib,Abemaciclib,Alpha-1-acid glycoprotein 1,
Abemaciclib,Abemaciclib,Alpha-1-acid glycoprotein 2,
Copanlisib,Copanlisib,Serum albumin,Toxic substance binding
Estradiolacetate,Estradiol acetate,Sex hormone-binding globulin,Androgen binding
Estradiolacetate,Estradiol acetate,Serum albumin,Toxic substance binding
Estradiolacetate,Estradiol acetate,"Fatty acid-binding protein, intestinal",Transporter activity
Estradiolbenzoate,Estradiol benzoate,Sex hormone-binding globulin,Androgen binding
Estradiolbenzoate,Estradiol benzoate,Serum albumin,Toxic substance binding
Estradiolbenzoate,Estradiol benzoate,"Fatty acid-binding protein, intestinal",Transporter activity
Estradiolcypionate,Estradiol cypionate,Sex hormone-binding globulin,Androgen binding
Estradiolcypionate,Estradiol cypionate,Serum albumin,Toxic substance binding
Estradiolcypionate,Estradiol cypionate,"Fatty acid-binding protein, intestinal",Transporter activity
Estradioldienanthate,Estradiol dienanthate,Sex hormone-binding globulin,Androgen binding
Estradioldienanthate,Estradiol dienanthate,Serum albumin,Toxic substance binding
Estradioldienanthate,Estradiol dienanthate,"Fatty acid-binding protein, intestinal",Transporter activity
Estradiolvalerate,Estradiol valerate,Sex hormone-binding globulin,Androgen binding
Estradiolvalerate,Estradiol valerate,Serum albumin,Toxic substance binding
Estradiolvalerate,Estradiol valerate,"Fatty acid-binding protein, intestinal",Transporter activity
Cyclosporine,Cyclosporine,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Cyclosporine,Cyclosporine,Bile salt export pump,Transporter activity
Cyclosporine,Cyclosporine,Ileal sodium/bile acid cotransporter,Bile acid:sodium symporter activity
Cyclosporine,Cyclosporine,Sodium/bile acid cotransporter,Virus receptor activity
Cyclosporine,Cyclosporine,Solute carrier family 22 member 6,Sodium-independent organic anion transmembrane transporter activity
Cyclosporine,Cyclosporine,Multidrug resistance-associated protein 7,"Atpase activity, coupled to transmembrane movement of substances"
Cyclosporine,Cyclosporine,Canalicular multispecific organic anion transporter 1,Organic anion transmembrane transporter activity
Cyclosporine,Cyclosporine,ATP-binding cassette sub-family G member 2,Xenobiotic-transporting atpase activity
Cyclosporine,Cyclosporine,Solute carrier organic anion transporter family member 1B1,Sodium-independent organic anion transmembrane transporter activity
Cyclosporine,Cyclosporine,Solute carrier organic anion transporter family member 1B3,Sodium-independent organic anion transmembrane transporter activity
Cyanocobalamin,Cyanocobalamin,Protein amnionless,Receptor binding
Cyanocobalamin,Cyanocobalamin,Transcobalamin-1,Cobalamin binding
Cyanocobalamin,Cyanocobalamin,Transcobalamin-2,Metal ion binding
Cyanocobalamin,Cyanocobalamin,Gastric intrinsic factor,Cobalamin binding
Cyanocobalamin,Cyanocobalamin,Cubilin,Transporter activity
Cyanocobalamin,Cyanocobalamin,Low-density lipoprotein receptor-related protein 2,Calcium ion binding
Cyanocobalamin,Cyanocobalamin,Multidrug resistance-associated protein 1,Transporter activity
Choline,Choline,Solute carrier family 22 member 2,Quaternary ammonium group transmembrane transporter activity
Choline,Choline,Solute carrier family 22 member 1,Secondary active organic cation transmembrane transporter activity
Choline,Choline,Solute carrier family 22 member 3,Toxin transporter activity
Choline,Choline,Solute carrier family 22 member 5,Symporter activity
Choline,Choline,Solute carrier family 22 member 4,Symporter activity
Choline,Choline,Choline transporter-like protein 1,Choline transmembrane transporter activity
Choline,Choline,Choline transporter-like protein 4,
Choline,Choline,Choline transporter-like protein 2,Signal transducer activity
Choline,Choline,Choline transporter-like protein 3,
Choline,Choline,High affinity choline transporter 1,Choline:sodium symporter activity
Lglutamine,L-Glutamine,Sodium-coupled neutral amino acid transporter 1,"Functions as a sodium-dependent amino acid transporter. Mediates the saturable, pH-sensitive and electrogenic cotransport of glutamine and sodium ions with a stoichiometry of 1:1. May also transport small zwitterionic and aliphatic amino acids with a lower affinity. May supply glutamatergic and GABAergic neurons with glutamine which is required for the synthesis of the neurotransmitters glutamate and GABA."
Lglutamine,L-Glutamine,Sodium-coupled neutral amino acid transporter 2,"Functions as a sodium-dependent amino acid transporter. Mediates the saturable, pH-sensitive and electrogenic cotransport of neutral amino acids and sodium ions with a stoichiometry of 1:1. May function in the transport of amino acids at the blood-brain barrier and in the supply of maternal nutrients to the fetus through the placenta."
Lglutamine,L-Glutamine,Sodium-coupled neutral amino acid transporter 3,Symporter activity
Lglutamine,L-Glutamine,Neutral amino acid transporter B(0),Virus receptor activity
Lglutamine,L-Glutamine,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+),Neurotransmitter:sodium symporter activity
Lglutamine,L-Glutamine,Y+L amino acid transporter 1,L-amino acid transmembrane transporter activity
Lglutamine,L-Glutamine,Y+L amino acid transporter 2,"Involved in the sodium-independent uptake of dibasic amino acids and sodium-dependent uptake of some neutral amino acids. Requires coexpression with SLC3A2/4F2hc to mediate the uptake of arginine, leucine and glutamine. Also acts as an arginine/glutamine exchanger, following an antiport mechanism for amino acid transport, influencing arginine release in exchange for extracellular amino acids. Plays a role in nitric oxide synthesis in human umbilical vein endothelial cells (HUVECs) via transport of L-arginine. Involved in the transport of L-arginine in monocytes. Reduces uptake of ornithine in retinal pigment epithelial (RPE) cells."
Lglutamine,L-Glutamine,Large neutral amino acids transporter small subunit 1,Peptide antigen binding
Lglutamine,L-Glutamine,Large neutral amino acids transporter small subunit 2,Toxin transporter activity
Lglutamine,L-Glutamine,"b(0,+)-type amino acid transporter 1",Peptide antigen binding
Lglutamine,L-Glutamine,Monocarboxylate transporter 10,Transporter activity
Methionine,Methionine,Monocarboxylate transporter 10,Transporter activity
Ltryptophan,Tryptophan,Monocarboxylate transporter 8,Transporter activity
Ltryptophan,Tryptophan,Monocarboxylate transporter 10,Transporter activity
Folicacid,Folic acid,ATP-binding cassette sub-family C member 11,Purine nucleotide transmembrane transporter activity
Folicacid,Folic acid,Canalicular multispecific organic anion transporter 2,Organic anion transmembrane transporter activity
Folicacid,Folic acid,Solute carrier family 22 member 6,Sodium-independent organic anion transmembrane transporter activity
Folicacid,Folic acid,Multidrug resistance-associated protein 4,"Atpase activity, coupled to transmembrane movement of substances"
Folicacid,Folic acid,ATP-binding cassette sub-family G member 2,Xenobiotic-transporting atpase activity
Folicacid,Folic acid,Proton-coupled folate transporter,Methotrexate transporter activity
Folicacid,Folic acid,Mitochondrial folate transporter/carrier,Folic acid transporter activity
Fluvoxamine,Fluvoxamine,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Fluvoxamine,Fluvoxamine,Bile salt export pump,Transporter activity
Amphetamine,Amphetamine,Solute carrier family 22 member 3,Toxin transporter activity
Amphetamine,Amphetamine,Solute carrier family 22 member 5,Symporter activity
Bortezomib,Bortezomib,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Bortezomib,Bortezomib,Solute carrier organic anion transporter family member 1B3,Sodium-independent organic anion transmembrane transporter activity
Erythromycin,Erythromycin,Solute carrier organic anion transporter family member 1B3,Sodium-independent organic anion transmembrane transporter activity
Erythromycin,Erythromycin,Bile salt export pump,Transporter activity
Erythromycin,Erythromycin,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Erythromycin,Erythromycin,Solute carrier organic anion transporter family member 1B1,Sodium-independent organic anion transmembrane transporter activity
Erythromycin,Erythromycin,Canalicular multispecific organic anion transporter 1,Organic anion transmembrane transporter activity
Erythromycin,Erythromycin,Solute carrier organic anion transporter family member 1A2,Sodium-independent organic anion transmembrane transporter activity
Caffeine,Caffeine,ATP-binding cassette sub-family G member 2,Xenobiotic-transporting atpase activity
Dofetilide,Dofetilide,Solute carrier family 22 member 2,Quaternary ammonium group transmembrane transporter activity
Azithromycin,Azithromycin,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Azithromycin,Azithromycin,Canalicular multispecific organic anion transporter 1,Organic anion transmembrane transporter activity
Midodrine,Midodrine,Solute carrier family 15 member 1,Proton-dependent oligopeptide secondary active transmembrane transporter activity
Citalopram,Citalopram,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Eletriptan,Eletriptan,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Glimepiride,Glimepiride,Bile salt export pump,Transporter activity
Lovastatin,Lovastatin,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Lovastatin,Lovastatin,Solute carrier organic anion transporter family member 1A2,Sodium-independent organic anion transmembrane transporter activity
Lovastatin,Lovastatin,Solute carrier organic anion transporter family member 1B1,Sodium-independent organic anion transmembrane transporter activity
Lovastatin,Lovastatin,Canalicular multispecific organic anion transporter 1,Organic anion transmembrane transporter activity
Lovastatin,Lovastatin,Bile salt export pump,Transporter activity
Lovastatin,Lovastatin,Solute carrier organic anion transporter family member 2B1,Sodium-independent organic anion transmembrane transporter activity
Lovastatin,Lovastatin,Solute carrier organic anion transporter family member 1B3,Sodium-independent organic anion transmembrane transporter activity
Cladribine,Cladribine,ATP-binding cassette sub-family G member 2,Xenobiotic-transporting atpase activity
Cladribine,Cladribine,Solute carrier family 28 member 3,Pyrimidine- and adenine-specific:sodium symporter activity
Cabergoline,Cabergoline,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Doxycycline,Doxycycline,Solute carrier family 22 member 6,Sodium-independent organic anion transmembrane transporter activity
Doxycycline,Doxycycline,ATP-binding cassette sub-family B member 5,Efflux transmembrane transporter activity
Diethylstilbestrol,Diethylstilbestrol,ATP-binding cassette sub-family G member 2,Xenobiotic-transporting atpase activity
Diethylstilbestrol,Diethylstilbestrol,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Diethylstilbestrol,Diethylstilbestrol,Solute carrier organic anion transporter family member 1B1,Sodium-independent organic anion transmembrane transporter activity
Diethylstilbestrol,Diethylstilbestrol,Solute carrier organic anion transporter family member 2B1,Sodium-independent organic anion transmembrane transporter activity
Diethylstilbestrol,Diethylstilbestrol,Bile salt export pump,Transporter activity
Clotrimazole,Clotrimazole,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Clotrimazole,Clotrimazole,Bile salt export pump,Transporter activity
Clotrimazole,Clotrimazole,Solute carrier organic anion transporter family member 1B1,Sodium-independent organic anion transmembrane transporter activity
Clotrimazole,Clotrimazole,Solute carrier organic anion transporter family member 1B3,Sodium-independent organic anion transmembrane transporter activity
Metoprolol,Metoprolol,Solute carrier family 22 member 2,Quaternary ammonium group transmembrane transporter activity
Isradipine,Isradipine,Bile salt export pump,Transporter activity
Amsacrine,Amsacrine,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Disopyramide,Disopyramide,Solute carrier family 22 member 1,Secondary active organic cation transmembrane transporter activity
Disopyramide,Disopyramide,Solute carrier family 22 member 2,Quaternary ammonium group transmembrane transporter activity
Lidocaine,Lidocaine,Solute carrier family 22 member 5,Symporter activity
Lidocaine,Lidocaine,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Morphine,Morphine,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Acetaminophen,Acetaminophen,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Gefitinib,Gefitinib,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity
Gefitinib,Gefitinib,ATP-binding cassette sub-family G member 2,Xenobiotic-transporting atpase activity
Codeine,Codeine,Solute carrier family 22 member 1,Secondary active organic cation transmembrane transporter activity
